iter	Passed	Remaining
0	64	129336
1	123	123598
2	196	130687
3	264	131906
4	351	140214
5	403	134228
6	453	129052
7	512	127700
8	572	126714
9	622	123975
10	678	122752
11	727	120557
12	780	119251
13	861	122220
14	928	122856
15	977	121170
16	1018	118834
17	1090	120030
18	1135	118368
19	1215	120380
20	1284	121038
21	1346	121050
22	1446	124309
23	1499	123441
24	1579	124788
25	1657	125874
26	1784	130432
27	1867	131508
28	1930	131222
29	1996	131119
30	2140	135954
31	2223	136721
32	2297	136957
33	2394	138431
34	2474	138915
35	2604	142103
36	2753	146083
37	2822	145730
38	2894	145542
39	2965	145314
40	3037	145118
41	3077	143488
42	3158	143760
43	3195	142059
44	3289	142891
45	3370	143182
46	3455	143595
47	3532	143672
48	3601	143409
49	3691	143955
50	3740	142960
51	3835	143681
52	3906	143522
53	3996	144038
54	4036	142740
55	4124	143177
56	4162	141878
57	4299	143947
58	4445	146236
59	4558	147396
60	4722	150124
61	4789	149718
62	4863	149538
63	4945	149612
64	5013	149259
65	5150	150933
66	5246	151352
67	5316	151050
68	5381	150607
69	5471	150851
70	5557	150979
71	5715	153058
72	5803	153199
73	5869	152759
74	6014	154360
75	6090	154184
76	6124	152954
77	6199	152753
78	6240	151756
79	6281	150761
80	6436	152493
81	6593	154220
82	6705	154878
83	6785	154774
84	6924	155997
85	6990	155584
86	7029	154576
87	7154	155448
88	7193	154464
89	7303	154998
90	7370	154621
91	7436	154221
92	7481	153402
93	7634	154805
94	7779	155995
95	7927	157222
96	7988	156725
97	8057	156389
98	8198	157421
99	8273	157191
100	8309	156226
101	8398	156285
102	8560	157665
103	8696	158534
104	8732	157597
105	8867	158438
106	8934	158073
107	9079	159058
108	9116	158163
109	9193	157969
110	9336	158881
111	9500	160154
112	9646	161092
113	9742	161184
114	9812	160837
115	9849	159973
116	9989	160772
117	10045	160218
118	10122	160010
119	10249	160575
120	10289	159782
121	10387	159905
122	10513	160432
123	10623	160719
124	10661	159915
125	10815	160861
126	10898	160732
127	10965	160365
128	11022	159864
129	11173	160721
130	11317	161470
131	11476	162406
132	11638	163383
133	11710	163069
134	11863	163886
135	11936	163604
136	12082	164306
137	12147	163907
138	12305	164746
139	12339	163942
140	12488	164651
141	12628	165243
142	12798	166201
143	12930	166663
144	13081	167354
